Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,reviews
A380,Family Leisure,Economy Class,London Heathrow to Los Angeles,December 2021,1.0,4.0,1.0,1.0,2.0,,1,no,"Not Verified |  First of this was one of the smoothest UK to US flights I have taken. The boarding was appalling and had families with kids queue for no reason at all. They called families to the front but then decided to board business and premier classes first which I appreciate why but why call families? The worse seats ever and the legroom was appalling. The entertainment system is basic, it does not support Bluetooth headphones, the USB does not support your own devices for movies although the website says yes and the headphones input was as good as useless.  The crew were nice so sorry I missed that."
Boeing 777,Business,Economy Class,London to St Lucia,December 2021,5.0,5.0,4.0,,5.0,,5,yes,"✅ Trip Verified |  Flying during covid is always a challenge. BA’s VeriFLY app worked perfectly and on-line check-in was seamless. The bags drop at T5 was seamless and boarding was done efficiently by zones. Although an older 777 it had been refurbished and everything was new and clean. The cabin crew were a credit to the airline – smartly dressed, friendly and keen to please. We were offered two drinks before lunch was served, with more drinks with the meal. The food was acceptable and we were given a tasty sandwich before landing. Obviously it was only economy but, after 8 hours flying, I arrived relaxed and unstressed."
Boeing 787,Couple Leisure,First Class,London to Chicago,November 2021,4.0,5.0,5.0,3.0,4.0,5.0,4,yes,"✅ Trip Verified |  Flew to Nashville via Chicago in first. Excellent check in and security. Lounge was good. Food and drink choices very good. First cabin on 787 is 8 seats. Comfortable seat, entertainment a little clunky. Cabin service top banana!! Food and drinks choices and tastes amazing for an aircraft. A special call out to Stewart Tim. A credit to BA."
A320,Solo Leisure,Business Class,London to Istanbul,December 2021,1.0,2.0,3.0,1.0,1.0,1.0,2,no,"✅ Trip Verified |  I had low expectations of business class BA on European routes but this flight was even worse. T5 is a mess with 90 minute queue to check bags with tons of people arriving late. Check in guy seemed clueless about Turkey needs for pcr etc. BA lounge is a joke so i went out and got sushi from a restaurant - there was mulled wine in crowded lounge but just bad all round. Boarding was chaos and we left an hour late. A320 was jammed full but business class there is little legroom and just the middle seat free, you might as well fly a low cost carrier for same seat. There is no inflight screen no overhead screen. Although the curtain was closed economy people used the forward bathroom with no crew sending them back. The only salvation was a pretty decent shepherds pie and red wine otherwise I would avoid flying BA. The next day I flew the same aircraft type to Bahrain on another carrier with proper business class seat in flight screen, headphones, good food and drinks, Arabic coffee, dates and gracious service. BA hang your head in shame."
Boeing 777,Couple Leisure,Business Class,Dubai to London Heaathrow,December 2021,4.0,2.0,3.0,4.0,1.0,3.0,4,yes,"✅ Trip Verified |  We've just used the new Club World for the first time and were delighted with the new configuration. The privacy afforded is so much better, in-flight entertainment and storage were brilliant. Unfortunately, we had the most lethargic crew ever who once the meal was served basically disappeared. The wines were warm, they even forgot to offer my wife a drink with lunch, and she also had a pair of used socks in her storage cabinet. Heathrow was a nightmare as often happens. Being 5 minutes early was rewarded with a 40-minute wait for a gate, then a 2.5 hour wait for our luggage, absolutely shocking in Covid times."
A320,Solo Leisure,Economy Class,London to Aberdeen,December 2021,,,,,1.0,,1,no,"✅ Trip Verified |  My flight yesterday 18/12/2021 was due to take off at 1215, soon after reaching the gate first passengers were called for pre-boarding, then gate staff said the aircraft has not been given permission to land at Aberdeen due to poor weather. Airport information kept telling passengers to go to gate for a further hour and a half before passengers learned the flight had been cancelled via the BA APP, we then had to join a line for the customer service desk, it took two hours to reach the desk in my case, on reaching the desk I was told I had automatically been booked on the following mornings flight and being offered overnight hotel. That did not meet my needs so I requested cancellation and to get my bags back, I was told to cancel my booking on the BA APP, they could not do it at the desk. I was then directed via a gate to collect my bags, this meant having to go via the UK border to reach a baggage belt, then I waited for my bags for 3 hours because they had automatically stored my bags for the following days flight. BA staff were rude and dismissive of customer complaints at length of time bags were taking to arrive, like it was our fault for cancelling the alternative flight they had offered the next day."
Boeing 777,Couple Leisure,Business Class,London Gatwick to Cancun,December 2021,1.0,5.0,3.0,2.0,5.0,,3,no,"✅ Trip Verified |  It is first time we have flown BA business class in a 777 aircraft and hopefully it will be the last. Firstly, the check-in and crew were great - friendly and helpful. It was manual check-in, not a machine, which is always much nicer. No complaints at all in that department. Food on the journey was adequate but no choice of starter, or desert and 3 choices for main course, Business class seating is 2-4-2 with alternate seats facing backwards, as are both the centre seats. We were in those, so you are either facing a stranger on the aisle seat, or you put the screen up  and you are in a claustrophobic bubble. You cannot see out. You cannot see other passengers. It was slightly better as it was my wife and myself, but it would be utterly awful to be shut in this space with a stranger.  Nowhere to put a glass, bottle of water, book, or glasses within easy reach, unless you keep the table down. In most business class seats you can tuck your bag under the seat in front for take off and landing, but there is nowhere to put a bag, so everything has to go in the overhead locker, and they are missing over the first 4 rows of centre seats, so not much storage space. We were in row 1 and to get out you have to climb over the legs and leg rest of the person in the aisle seat in row 2. Now if you are travelling solo in the centre seats that is always the case, but normally if, as a couple, you take aisle and centre at least you are climbing over your partner's legs, not some stranger. I am 5ft 10 and could just about manage. My wife at 5ft 4 could not get over without disturbing the passenger in the row behind. The reading light was hopeless and did not shine on your book and the light controlled from the handset did not work at all. This is utterly awful design and will certainly make us avoid BA in future, if at all possible."
,Business,Business Class,Kingston to London,August 2021,1.0,2.0,2.0,3.0,2.0,1.0,1,no,"✅ Trip Verified |  I claimed my miles right after my trip at the beginning of August, they took almost 4 months to reply and to my surprise to reject my request without providing any reasons. I have sent them a complaint per E-mail and I still didn't get a reply. It has been 4.5 months and I am still waiting for an answer. Furthermore, many people were not wearing masks and when I asked the flight attendants why they were allowing people not to wear the masks they said there are medical exceptions. When we ordered more drinks they replied that we needed to pick them out ourselves, what a business class customer service."
,Family Leisure,Business Class,London to Delhi,January 2021,1.0,1.0,1.0,1.0,1.0,1.0,1,no,"✅ Trip Verified | British Airways is taking reservations and then cancelling flights without giving any reasons. We had further plans that all needed to be cancelled because of the flights. BA did nothing to ease the process and offered absolutely no explanation of why the flight was cancelled, I am not going to travel on BA again and may not travel again this year at all."
,Solo Leisure,Economy Class,Washington DC to Moscow via London,December 2021,1.0,1.0,,,1.0,,1,no,"✅ Trip Verified |  I have a flight booked for January 2022, they send me an email at the beginning of December informing me that my flight was changed. My second flight was moved to the next day, making my layover 26 hours, called them, was told to just cancel. What kind of answer is that? I mean I still need to fly to where I am going, and booking with another airline closer to the day I am flying will be more expensive. It is a very big inconvenience for me and I don't even get an apology, just cancel!"
,Solo Leisure,Economy Class,Singapore to London,July 2021,3.0,4.0,1.0,3.0,1.0,,1,no,"✅ Trip Verified |  I had a future travel voucher for Singapore to London which I thought would be perfect for my flight to relocate home. I'd been under the impression that it was a simple process - just call up and book onto the same route that I'd previously paid for (and that had previously been cancelled by BA themselves) - but on a new date. How wrong I was. First, I had to pay to top up my flight - a significant amount, equivalent to around the value of my original flight which was a redemption ticket of part cash part airmiles. This was because of price increases and the fact that I was flying at peak times. The extra charge also meant that I overall paid more than face value (their online price at the time for the ticket) for the flight, as well as them still keeping the airlines I'd redeemed. They explained that the online price and redemption prices differ and that's just how the system works. However, if I had taken a refund I would have lost a lot of money to administration fees. They had me in a desperate situation where I was losing hundreds of pounds to them no matter what I did, so I cut my losses and booked the flight. Or at least I thought I did. The call centre agent - who had previously explained she was working remotely with no manager or supervision (and no way to escalate issues) - took my card details (including full card number, dates, and CVC code) - and explained my flight ticket and receipt for payment for an extra bag would follow. A week later, I still had no ticket, no details, no charge to my card, no booking reference - nothing. I called up to confirm. The call centre agent I reached apologised and advised he would escalate it to the bookings team and again took my card details. Once again, I waited another week, and sign of being booked onto a flight. Thus began a cycle of increasingly frequent and desperate calls to British Airways as they repeatedly failed to do the simple task of booking me on a flight, spanning over 6 weeks.  On the Friday before my Monday flight, I sat in tears to another BA call centre agent who promised to get me on my flight and book my extra bag. The next day - around 48 hours before I was due to fly, I finally got my booking reference yet they still failed to charge me for or add on my extra bag. Luckily, I noticed this on my check in details and managed to add a bag online. The whole experience was stressful, costly, and resulted in me spending hours and days on the phone listening to British Airways hold music. Furthermore, there has been a significant cutback to BAs inflight catering service due to COVID, resulting in smaller portions, leaving me quite hungry on such a long flight. Though I've flown BA repeatedly with few problems in the past, their service has gone significantly downhill."
,Family Leisure,Economy Class,Cairo to Portland via London / Seattle,November 2021,,,,,1.0,,1,no,"✅ Trip Verified |  Extremely disappointed In trip experience. I am Gold MVP 100,000+ miler with Alaska Airlines. My ticket and travel wasnt linked with Alaska Airlines. When speaking with Alaska representative, they confirmed it was due to lack of effort on British Airways In accomplishing this task. I could over look the lack of effort on this even though frustrating. The Main issue is the ticketing and Flt connection process.  I departed Egypt this morning with connecting tickets in hand. Once I arrived in USA apparently my Alaska (AS 2449) flt was changed to a 5 hour later flight with a completely different airline (Delta). Who does that without notifying the customer. I found this out when trying to go through security In Seattle, they said my ticket was not valid. I had to go to Alaska Airline to find out What the issue was. They explained British Airways had rebooked with Delta. This took about 30mins with customer Service. Then i had to go to Delta to sort the mess out. I am so frustrated."
A320,Business,Business Class,London Heathrow to Paris CDG,November 2021,3.0,4.0,4.0,,1.0,,3,no,"✅ Trip Verified |  British Airways seems happy to encourage the spread of Covid. Took the 7am flight from T5 at Heathrow to Paris CDG on 22nd November, which was boarded by bus from a remote gate. The bus driver insisted on packing the bus to its maximum possible load, standing by the door and telling customers to squeeze right up and he was not leaving the terminal until the bus was full. The result was that passengers in the bus were packed tight and the maximum facial distancing was about 15cms! A second coach to the aircraft followed just a few minutes later and had about 15 customers on it. It is shameful that BA ground staff exercise no control and did nothing to check the bus boarding process, and whilst the flight was okay, this serves to underline how BA seem happy to disregard any Covid-19 safety protocols in the airport environment. In contrast, on recent Air France and Iberia flights, their ground staff are much more disciplined and actually try to control customers. Maybe this underlines the very laissez faire attitude to Covid that now prevails in the UK. "
,Business,Business Class,Manchester to London Heathrow,November 2021,1.0,,,,1.0,,2,no,✅ Trip Verified |  I was refused an early check in and was told to come back at 2:30pm for a 5.05pm departure. There was no staff until 2:45 and both staff members were very inexperienced with poor attitude taking up a lot of time for each passenger.
A321 neo,Solo Leisure,Business Class,London to Tenerife,November 2021,3.0,2.0,3.0,,4.0,,2,no,"✅ Trip Verified | Check in was ok, all documents were scanned without problems. The flight was delayed by 50 minutes due to crew members been stuck on the M25. Not the airlines fault. 3 replacement crew where found and boarding onto a new A321 neo went ahead. The club Europe cabin was 12 rows of economy seats with the middle seat blocked off. For me at 5.11 tall, I can fit ok, however anyone taller than me might struggle with limited leg room. The inflight service was a a stop - start affair, nothing to write home about. The crew failed to work as a team. You had to go to the galley to get extra drinks. I was even served cool coffee with filter paper in the bottom of the cup. Landing and disembarking went without a hitch and included a bus ride to the terminal. Not BA's finest hour."
A321 neo,Solo Leisure,Business Class,Tenerife to London,November 2021,4.0,5.0,5.0,,4.0,,4,yes,"✅ Trip Verified | Arrived at the South airport in Tenerife 2 hours before departure, Iberia had not opened the check in. Even with a full flight waiting, the usual check in process post COVID took place, with the usual errors in the paperwork slowing things down. Passing security was fine and Iberia had a lounge with 160 person capacity to serve drinks and a simple selection of cold food. Boarding was done by a 15 meter long bus ride as the plane was parked at the gate. Not sure why. The plane was a very new A321 neo, with 14 rows of club seating. The seat was ok for a 4 hour flight, but anything longer and I would expect club Europe to have more leg room than the couple of inch’s between my knee and the seat in front. Food and drink where very good, served with steel cutlery and glass tumblers. Good selection of wine to go with a above average salad. Overall it was an OK experience with a great cabin crew."
A320,Solo Leisure,Economy Class,Stockholm to London Heathrow,November 2021,1.0,5.0,1.0,,1.0,,2,no,"Not Verified |  Check-in very slow. No app check-in and could not check my vaccine QR code online. Check in staff friendly but too few of them. BA Silver card holder and no Stockholm lounge  to use. Boarding fine, but plane was worn out. Seats close together and row 30 even worse.  Crew really professional and happy it seemed. Arrival at Heathrow a total shambles. BA777 landed at 12.50, no gate so waited and waited for 25 minutes. Then BA jetty didn’t work. Then BA had no steps. Very slow to leave plane as only moderately mobile wheelchair passengers struggle down the steps. Everyone was very patient and supportive but it was terrible to watch. So BA skimping on lounge, plane condition and gate. Crew good, seats very uncomfortable."
,Business,Economy Class,Frankfurt to London,November 2021,,,,,1.0,,1,no,"✅ Trip Verified |  After 1h queuing at the check-in desk, I am told that my booked seat is not available. Why do you sell seats that you do not have?"
A320neo,Couple Leisure,Business Class,London Heathrow to Tenerife South,November 2021,3.0,3.0,1.0,,2.0,,1,no,"Not Verified |  Outbound, seated in row 10, I was told they had run out of my chosen food option (shepherd's pie), so I had to settle for gnocchi. The steward had the temerity to blame the food supplier - as if BA could not get a better one! On the return, boarding from the back, not by priority, then, seated in row 12, I had the last half glass of champagne (only because one of the other passengers in row 12 had declined). Food was rigatoni with vegetables. Overall, penny pinching by BA in club class. Dreadful - not for us again."
A320 Neo,Couple Leisure,Business Class,Heathrow to Tenerife South,November 2021,2.0,5.0,3.0,,3.0,,3,yes,"✅ Trip Verified |  Flew Club Europe London - Tenerife South 5 November and returned 12 November. Club Europe seats are not comfortable - you pay a lot more for exactly the same leg room but have the middle seat of 3 empty to spread out a tiny bit. For the fare I would hope for at least a couple more inches of leg room - it would make a huge difference. We did at least get a meal (outbound cottage pie and inbound sausage and mash) which were not too bad and a drinks service. However, on the inbound BA had no white wine - apparently there is a problem with their suppliers. Did not pre-book seats due to the extortionate fees for pre booking. Just about any other airline will not charge for pre booking a seat if you are in premium classes. Back to the flights: both in a new, or nearly near A320, both very smooth with no timing issues at all so all good in that respect. Not a good check in experience at Tenerife South - just tacked onto the end of a large Tui check in queue. Also not a great lounge - the VIP lounge is merely adequate with OK seating for an hour or two. I would only just about recommend - there are still reservations about exactly what BA is trying to become."
,Solo Leisure,Economy Class,London to Chicago,November 2021,1.0,2.0,2.0,2.0,1.0,2.0,1,no,"✅ Trip Verified | 3 hours standing in line for boarding pass. Airline would not allow me to obtain boarding pass electronically. Then they said the flight was overbooked so my adult daughter got bumped from the flight. And yes, we used VeriFLY. My flight is now delayed for at least 30 minutes. They are so unorganized and slow! Getting a seat in advanced is not performed like other airlines. You have to wait even though I paid for it. Avoid this airline at all costs! Absolute worst!"
,Solo Leisure,Economy Class,London to Mexico,October 2021,2.0,3.0,2.0,5.0,2.0,,2,no,"✅ Trip Verified | I have been trying to get a hold of BA to change my return flight for the past week now. I cant change online because I'm flying out of another city so the service is unavailable online. I've tried live chat several times and waited 2.5 hours only to be told there's no one available (during business hours). I have tried calling and the line always drops from their end. Customer service is non existent. However, of course if you call the ""new booking"" line someone immediately picks up of course, however they can't help me nor put me through to anyone apparently. Shambolic excuse of an airline that doesn't deserve to be a national airline. I haven't had these problems at all and I've been flying throughout covid (for work unfortunately). It's been easier to change my flights with domestic Latin American Airlines and I don't even speak Spanish. "
Boeing 777,Couple Leisure,Economy Class,Manchester to Nassau via London,October 2021,2.0,2.0,2.0,2.0,1.0,1.0,1,no,"✅ Trip Verified |  This whole experience was sickening, over 3.5 grand spent on the holiday and their customer service is a shambles. Drop down menu to drop down menu not stating what I wanted to complain about. Would not even allow me to add tier points. The flight to London was marred with problems. In London we received an upgrade email to fast track and VIP lounges due to amount spent. This never happened and treated as paupers wherever we showed the email. We had to change planes to the other side of the airfield. The resort (Riu Paradise Beach) was riddled with bad food, drugs and bad attitude and when you complained you were fobbed off as they knew there was no BA staff to sound off too. The return journey was a shambles and more delays finally arriving back at Manchester completely exhausted and needing another holiday. There is light at the end of this horrid tunnel Virgin Atlantic have just started the same route from this month. Now we all know this is a better option."
,Family Leisure,Economy Class,Mumbai to Dublin via London,November 2021,3.0,2.0,2.0,3.0,2.0,,3,no,"Not Verified |  Poorly mismanaged services this time. Disappointed with the huge queues due to unavailability of attendants at the counters, had to wait around 1.5 hours just to check in. Then came the boarding, again had to wait at the passage for 15-30 mins. Finally when we thought things are better now, on reaching London our next boarding pass was not scanned. Around 15-20 passengers including me had to wait from 7.45 am until 1.40 am for the next flight. On boarding the next flight, no space to keep the luggage. Journey was really hectic and did not expect this from BA."
,Solo Leisure,Premium Economy,Gibraltar to London,November 2021,4.0,4.0,,,1.0,,3,no,Not Verified |  Currently dreading my flight with BA considering they have hung up on me and mum on the customer service line twice now and will not reply via the so called “Live Chat”. All we wanted to find out was how there were two flights booked under my mums name plus a flight for my dad and not one for me. We just wanted to be able to make a name change. Absolutely impossible. Their website is unusable. Their customer service is a shambles. They couldn’t change the name. Told me that we should’ve done the booking more carefully. Well you’re going to have these people making mistakes. So maybe change your website so that we can make changes to our flights. Like hello it’s the 21st century. You should have a button saying “Change name”. Anyways not the point. The woman on the phone started raising her voice at us because she wasn’t making it clear on what to do. Then when I gave up towards the end of the call I just said “thanks for your help I’ll deal with it la-“ got cut off. 50 minutes and got nothing. All I can say is good luck.
A321,Business,Economy Class,Belfast to London,November 2021,4.0,5.0,4.0,,4.0,,4,yes,✅ Trip Verified | Another BA shuttle flight and a good one. Fantastic flying weather and I would say a 40% load factor. Good professional crew. Friendly and complimentary snack arrived early so now worries. And getting to the A gates at T5 makes for an easy exit. Still a cut above their competitors although a bit more expensive they make up for that in total product delivery.
A321,Family Leisure,Business Class,Larnaca to London Heathrow,October 2021,2.0,4.0,2.0,,3.0,3.0,3,yes,"✅ Trip Verified | Flight from Larnaca to LHR. Check in was ok. The lounge was an Aspire lounge and shared, it was basic but ok. Flight left 20 minutes late but made up time en route. There were 13 rows to the business class cabin on this A321. Service was ok but it was quite expensive for the product offered. It’s a long sector and the food wasn’t great. Drinks were ok but the staff kept going on about a lack of glassware, not really interested if I’m being honest when we’ve paid a lot of money for it. Staff were friendly and as responsive as they could be. Club Europe is fine for flights less than three hours but not for longer. The seats are not so comfortable. Not dreadful but something for BA to think about."
A320,Couple Leisure,Business Class,Lisbon to London Heathrow,September 2021,4.0,4.0,4.0,,5.0,,4,yes,"✅ Trip Verified |  Upon checking in at the Club desk in Lisbon airport our Passenger Locator Forms were found to have an incorrect reference number for our Day 2 test and the check in agent denied us boarding, causing my wife, who had recently spent some long time in hospital in the U.K., much distress. He was only doing his job of course, but we requested him to call a Supervisor. The Check in Manager, Goncalo Ribeiro, came to our rescue.  Not only did he identify the problem but spent half an hour of his time arranging a new supplier for our Day 2 test, uploading it onto our PLF’s, verifying our flight documentation and fast tracking us through check-in. He was at the Gate on boarding to wish us a comfortable journey; we could not have asked for better service. He was a very professional ambassador for BA!"
Boeing 787,Couple Leisure,Premium Economy,Madrid to London,October 2021,4.0,5.0,5.0,4.0,3.0,,5,yes,"✅ Trip Verified | Club Europe on British Airways. Outstanding and wonderful to have BA back. The welcome on board was warm and sincere. Flight attendants helpful, friendly and professional. Great updates from the flight deck. Super lunch and good choice of wines. BA at its best. Hopefully this excellence is also a reflection of a new CEO with the departure of Alex Cruz."
A320NEO,Family Leisure,Economy Class,London to Bologna,October 2021,5.0,5.0,3.0,,2.0,,4,yes,"Not Verified |  Good flight but boarding was chaos, was gifted with the beautiful A10 gate at LHR T5(, so we were bussed to the plane (first time I've used a bus gate there). The A320 was at T3 at a gate with a jetway, nevertheless 168 passengers (full flight) boarded via steps - this caused an hour waiting at the ""gate"" as well as the baggage taking ages. Also the seat recline on G-GATL (9f) is broken."
A321 Neo,Business,Economy Class,London to Alicante,October 2021,1.0,4.0,4.0,,4.0,,5,yes,"✅ Trip Verified |  Usual BA economy trip, pleasant crew. Complimentary snack and water and small bar service which has reasonable prices. I am not a fan of the new NEO aircraft. Very cramped seating and uncomfortable. The armrests between seats are tiny thin and short in length and offer little support for two people and not enough for one. Aisle width seems smaller and going to the toilets at the back seems awkward. I have done a transatlantic on this aircraft with another airline and it’s not for me. Other than that BA still offers a good product that can be good value or over priced. This time it was good value."
A321,Family Leisure,Business Class,London to Larnaca,October 2021,3.0,5.0,3.0,2.0,4.0,2.0,4,yes,"✅ Trip Verified |  Check in was easy, security quick, lounge fine. Lounge service returning to pre pandemic days and some self service allowed (which was great). Flight was fine, my wife and son felt breakfast was more like old style economy food and perhaps I agree. There was nothing bad about food but nothing great either. Drinks were fine and proactively served. On arrival efficient PCR testing where it was needed and fast turnaround. Baggage off quick"
A320,Business,Economy Class,Prague to London,October 2021,4.0,5.0,,,1.0,,1,no,"Not Verified |  What has happened to British Airways? The whole pre-flight experience now is prehistoric, they appear to have gone back to the 80’s and now make passengers physically queue to manually check in adding hours to the journey not to mention how ridiculous it is to bunch people together in a big slow queue. On the premise it’s due to covid precautions! They are the only airline making passengers do this and they can’t even open all the desks so for 200 passengers they had two check in staff, like the post office in 1980! Apart from the aircraft and cabin crew literally everything else about this airline has disintegrated to the point where they’re just not reliable enough to use for business purposes and their attitude towards exec club members and other loyal customers is a disgrace. I’ve chosen and insisted upon BA for business and personal travel for decades and accumulated a lot of air miles, I also have not one but two BA Amex companion vouchers that cost me 40k of spending to earn so that tells you how much I’ve supported this airline despite their shocking decline in recent years. In the last year I’ve booked 6 BA flights, 1 personal and 5 business flights for me and two colleagues but after taking my money and wasting my time planning the itineraries, 5 of the 6 have been cancelled forcing me to tear up my plans and pay double for last minute alternatives with other airlines, the personal one to St Lucia they cancelled my return 2 days after flying me out forcing me to cancel my holiday and fly back immediately or risk being stuck there for 6 weeks. That cost me my £2500 holiday and they offered nothing by way of compensation! A couple of weeks ago I noticed that one of my Amex companion vouchers was apparently going to expire on Nov 12th this year so I tried to speak to them. As the World has largely been closed since March 20 I assumed it would be straightforward to extend the voucher to a time there are holiday destinations properly open, not to mention my experiences dealing with routinely cancelled flights and my reluctance to risk a third person on another holiday, but after 2 days going around in circles speaking really bad English to people who have no empathy for me or even live in the same country I finally got through to someone at BA who told me that no they won’t extend the voucher! I’m even a shareholder but after this level of treatment and disrespect I will not spend another penny with this airline, I’m not even going to bother using my second voucher and I’ve cancelled my BA Amex. I work in the music business managing tours for bands so I reckon I book 1000 flights a year and my only satisfaction is knowing their attitude has cost them that! Roll on the inevitable BA administration but at least somebody else can buy it for cheap and start rebuilding what was once the Worlds Favourite Airline but now the most ridiculed. Who’d have thought BA could ever make Ryanair look like an attractive option."
,Couple Leisure,Economy Class,Male to London,October 2021,5.0,5.0,5.0,5.0,5.0,5.0,5,yes,"✅ Trip Verified |  I have just returned from an amazing holiday and felt compelled to write a review. The flight is generally a torment for me being a nervous flyer, however, on this occasion it was an absolute delight. On both inward and outward journeys, I was impressed by the professionalism, friendliness and kindness of the cabin crew. I was in economy but was treated with the respect and service I would expect in the first class cabin. My particular thanks must go to Amir, who was absolute joy and a credit to British Airways. I cannot wait to fly again with you and that from me is huge, Thank you so so much."
,Solo Leisure,Premium Economy,London to Toronto,October 2021,3.0,3.0,4.0,4.0,4.0,,4,yes,"✅ Trip Verified |  The plane was clean and air quality very good. Timing was perfect. I was seated in 15 K. To begin with , I had difficulty using the buttons to get the leg rest up as well as push back the seat. When I requested a cup of tea just as the drink service started, I was told that tea would be served after dinner. I did press the loght twice to indicate my need and nothing happened. At dinner, there was no tea service. I did get up and go to the galley and ask for a cup of tea.  There was no hand soap in the washroom. However, on my way to London from Toronto, my experience was a good one. However, it was not the same on my return flight."
A350,Business,Business Class,London to Toronto,October 2021,5.0,5.0,5.0,5.0,5.0,5.0,5,yes,✅ Trip Verified |  The service was excellent. The cabin staff were attentive and efficient. The food and drinks were very good. The seat in the new suites is extremely comfortable and the additional privacy is really nice. Overall a very enjoyable flight.
,Solo Leisure,Business Class,London Heathrow to Athens Greece,September 2021,2.0,4.0,4.0,3.0,4.0,4.0,1,no,"Not Verified |  I booked and paid for what I thought was a business class seat on a flight to Athens. What I got was a premium economy seat. The first nine rows were business class seats, rows 10 to 16 were what should have been the premium economy cabin (but had been added to the business class section) which had less comfortable seats that didn’t fully recline, unlike the seats in rows 1 to 9 (I was in row 11). This is not a case of me being snobby, but simply a point of principle and a clear case of BA mis-selling. Had I known prior that I would be paying the same business class price but for seats that were less comfortable than other business class passengers on the same flight, I wouldn’t have booked. I complained on board along with several other passengers who also resented being scammed in that way. I also made a formal complaint to BA but was fobbed off. Apparently this is a long running scam, I don’t know how they get away with it."
,Solo Leisure,Economy Class,London to Cayman Islands ,November 2020,,,,,,,1,no,"✅ Trip Verified |  Terrible customer service. Booked my flight before Covid. Couldn’t go, still can’t go as borders are still closed. I wasn’t given an option just told I have to take a voucher. Now I have no job and no plans to travel and they refuse to give me my money back although I booked for a flight for Cayman and I still haven’t been able to go. They cannot provide the service I paid for and refuse to refund me. They are not sympathetic or understanding.  The voucher is valid for another two years, I wonder how many flights will go up by then. I wonder how many more regulations there will be. I’ve been such a good customer and feel I deserve better. "
A320,Family Leisure,Economy Class,London to Prague,October 2021,1.0,1.0,1.0,,1.0,,2,no,"✅ Trip Verified | This was my first flight during the pandemic, so it was understandable the difficulties facing airlines. Check-in was longer than normal due to the vaccine checks and passenger locator forms etc. But on the return flight, it was a total mess. Just two counters open for economy and one for business. There were arguments regarding vaccine checks, where two BA staff were contradicting each other. It took an hour and ten minutes just to check in, resulting in the flight delay. On board, I was not expecting great service.  Seating was extremely uncomfortable, 29 inch pitch and 17 inch wide seats - just about bearable for an hour and a half flight.  On board service was a packet of crisps and a small bottle of water from another, no eye contact with me just handed out. However, I was pleased that disembarking passengers were let out in groups, despite a few idiots who decided to stand a up to get their hand luggage out while the aircraft is was still taxing to the gate. The cabin crew did manage to force them back to their seats and close the lockers."
A321,Couple Leisure,Business Class,Larnaca to London Heathrow,October 2021,3.0,4.0,3.0,,4.0,3.0,4,yes,"✅ Trip Verified | LCA to LHR in Club Europe. Quick check-in at LCA with speedy passport control and security. Aspire lounge was clean and spacious with reasonable buffet food and drink. Boarding by group and pushback on time. CE stretched back a full 15 rows and the single toilet struggled. Drinks and meal service was efficient despite the many rows, but the vegetarian option was the usual pasta splodge and reminiscent of economy of yore. Onboard W-Fi was adequate, if rather slow, and it shouldn't be charged for in business class. Arrival ahead of schedule. Disembarking en masse and through e-gates surprisingly quickly. Overall, a flight that was typical of the post-COVID standard for short-haul business class."
,Couple Leisure,Economy Class,Heathrow to Manchester ,August 2021,,,,,1.0,,1,no,"Not Verified |  I had booked a flight from Heathrow on Friday 27th August 2021 to fly to Manchester Airport. On arrival at Heathrow to check in, the British Airways staff informed me that I had booked both flight seats in my name by mistake. I offered to pay a fee to get the second seat changed to my sister's name but British Airways refused us to board and sent us home. However, the staff member who I spoke to at the desk promised to email us flight vouchers which I would get shortly so that I could fly at another time with BA since they do not offer refunds. I never received these flight vouchers. I have chased numerous times on the phone with BA staff who said that it was my error and that no flight vouchers would be sent to me. They have no record that a staff member spoke to me and promised these vouchers, they say I was just a 'no show' which is inaccurate. I have sent numerous emails to BA explaining what happened and asking form my promised vouchers. I have had no response to my emails/messages. One BA staff member on the phone said that I should track down the lady I spoke to at Heathrow and ask her if she remembers me. So ludicrous as I did not take her name and I doubt she would remember me since she sees hundreds of BA customers a day. "
,Business,Business Class,London to Jersey,September 2021,2.0,1.0,,,1.0,,1,no,"✅ Trip Verified |  We have flown with BA for many years and never will again where there is an alternative. Booked and paid for Club class flights. Didn't receive a meal or drinks onboard, crew were so unorganised. We were delayed on the ground for 30 minutes prior to departing so they had plenty of time to prepare but the in-flight service was delayed once up in the air. They commenced the service, albeit very slowly, then abandoned it and closed the service altogether. The crew never even had the decency to speak to us to apologise in person or even over the tannoy.  Complained to BA and received an apology by email with the usual ""we fell short of our standards"" generic speech, but no offer of any partial refund or Avios to compensate for the lack of service. "
,Solo Leisure,Premium Economy,Denver to London,October 2021,5.0,5.0,,,5.0,,5,yes,✅ Trip Verified |  The crew at Denver airport is top notch! So impressed with their customer service. They were very patient and courteous. Thank you all for being amazing.
